% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=901977, Thu Mar 13 00:00:27 2025, <python>{}</python>
1 25 0.49655524224913755 1.000049957920299 289.4440176400675 2.8944401764006750e+02 295.71526532863106 339.1177057640674 48.02965839380761   
2 50 0.49336353226561136 1.000049957920299 288.76682594607735 2.8876682594607735e+02 293.34705011461574 339.25603468062127 48.468876307019855   
3 75 0.4905162105129796 1.000049957920299 288.76682594607735 2.8899145108036396e+02 325.4920210132349 339.10610707716967 43.20240380922678   
4 100 0.4880676335066217 1.000049957920299 288.673567036941 2.8867356703694099e+02 309.8961605618562 339.1826453100944 47.28642005634026   
5 125 0.4858962993865829 1.000049957920299 288.59501040936084 2.8859501040936084e+02 289.62705779541466 339.071331668051 39.71437415849397   
6 150 0.4839734873251664 1.000049957920299 288.3446809534868 2.8834468095348677e+02 289.61810048035665 339.02226300073255 20.278009500353164   
7 175 0.4823496069803467 1.000049957920299 288.3446809534868 2.8859614221266224e+02 292.75070374768995 338.9905572944275 13.832222119373853   
8 200 0.48098562797773464 1.000049957920299 288.23763720383903 2.8823763720383903e+02 289.71110172634195 338.2961718315597 12.441957423172767   
9 225 0.4798679990048827 1.000049957920299 288.23763720383903 2.8845871242686246e+02 295.40256765665316 338.89543474455184 13.283270182278727   
10 250 0.4787956503871896 1.0090546319772993 288.23763720383903 2.8905343574378946e+02 289.5453101637306 338.9500217084169 3.515893211148409   
